Title,Archive link,Primary Author(s),Year,Topic,Source,Keywords
Puckerings Archive: Estimating Ice Time (14 Mar 2001),https://archive.ph/CRMeO,Iain Fyffe,2001,Measures,Hockey Historyis,"Estimation, eTOI, Time on Ice"
Player Contribution: A Method for Allocating Credit for a Team's Performance to the Individual Contributors on a Hockey Team,https://web.archive.org/web/20210712080332/http://www.hockeyanalytics.com/Research_files/Player_Contribution_System.pdf,Alan Ryder,2003,Evaluation,Hockey Analytics,"Contribution, Player, Skaters"
Win Probabilities: A Tour Through Win Probability Models for Hockey,https://web.archive.org/web/20210506113404/http://www.hockeyanalytics.com/Research_files/Win_Probabilities.pdf,Alan Ryder,2004,Win Probability,Hockey Analytics,Win Probability
Shot Quality: A Methodology for the Study of the Quality of a Hockey Team's Shots Allowed,https://web.archive.org/web/20201109201023/http://hockeyanalytics.com/Research_files/Shot_Quality.pdf,Alan Ryder,2004,Measures,Hockey Analytics,Shot Quality
League Equivalencies,https://web.archive.org/web/20201111234640/http://hockeyanalytics.com/Research_files/League_Equivalencies.pdf,Gabe Desjardins,2004,Evaluation,Hockey Analytics,"Draft, NHL, Prospects"
Poisson Toolbox: A review of the application of the Poisson Probability Distribution in Hockey,https://web.archive.org/web/20210506074300/http://www.hockeyanalytics.com/Research_files/Poisson_Toolbox.pdf,Alan Ryder,2004,Miscellaneous,Hockey Analytics,Poisson
Goal Prevention,https://web.archive.org/web/20201212021327/https://hockeyanalytics.com/Research_files/Goal_Prevention_2004.pdf,Alan Ryder,2004,Measures,Hockey Analytics,Shot Quality
Projecting Junior Hockey Players and Translating Performance to the NHL,https://web.archive.org/web/20120504023629/http://www.behindthenet.ca/projecting_to_nhl.php,Gabe Desjardins,2004,Evaluation,Behind the Net,"Draft, NHL, Prospects"
Shot Quality: A logistic regression approach to assessing NHL shots on goal,,Kevin Krzywicki,2005,Measures,Hockey Analytics,Shot Quality
The Impact of Puck Possession and Location on Ice Hockey Strategy,,A.C. Thomas,2006,Strategy,Hockey Analytics,"Possession, Team"
Product Recall Notice for 'Shot Quality': Data Quality Problems with the Measurement of the Quality of a Hockey Team's Shots Taken and Allowed,,Alan Ryder,2007,Measures,Hockey Analytics,Shot Quality
Inter-arrival Times of Goals in Ice Hockey,,A.C. Thomas,2007,Miscellaneous,Hockey Analytics,
Estimating AHL Quality of Competition by Looking at Points Per Game of Opposing Forwards,,Jonathan Willis,2008,Measures,Copper and Blue,Quality of Competition / Teammates
Projecting Goalie Performance,,Bruce McCurdy,2008,Evaluation,Copper and Blue,Goalies
Shot Quality,,Tore Purdy,2008,Measures,Objective NHL,Shot Quality
Shot Attempts Against,,Philip Myrland,2008,Evaluation,Brodeur Is A Fraud,Goalies
Goalie Fatigue,,Philip Myrland,2008,Evaluation,Brodeur Is A Fraud,"Goalies, Fatigue"
Save Percentage and Shots Against,,Tore Purdy,2008,Evaluation,Objective NHL,Goalies
Shot Quality Part 2: Shot Quality For,,Tore Purdy,2008,Measures,Objective NHL,Shot Quality
Save Percentage vs. League Average,,Philip Myrland,2008,Evaluation,Brodeur Is A Fraud,"Goalies, Save Percentage, SV%"
The Trouble With Drafting Goalies,,Kent Wilson,2008,Evaluation,Flames Nation,"Goalies, NHL Draft"
Canadian Junior A NCAA/Major Junior Equivalencies,,Gabe Desjardins,2008,Evaluation,Behind the Net,"Draft, NHL, Prospects"
The First Goal,,Tore Purdy,2008,Miscellaneous,Objective NHL,
Estimating Brodeur's Shot Prevention,,Philip Myrland,2008,Evaluation,Brodeur Is A Fraud,"Goalies, Martin Brodeur, Puckhandling"
Position Value and Wage Determinants,,Sean Watterson,2009,Miscellaneous,Clemson University,"Positions, Value, Salary Projection"
The Importance of Context When Evaluating Shot Differential,,Derek Zona,2009,Measures,Copper and Blue,"Corsi, Fenwick"
KHL-->NHL Equivalency with TOI,,Gabe Desjardins,2009,Evaluation,Arctic Ice Hockey,"Free Agency, KHL, Prospects"
Even-Strength Goaltender Shot Quality Since the Lockout,,Gabe Desjardins,2009,Evaluation,Arctic Ice Hockey,"Goalies, Shot Quality"
Removing Observer Bias from Shot Distance,,Ken Krzywicki,2009,Evaluation,PDF,"Recording Bias, Observer Bias, Shot Distance"
Zone Shift,,Tore Purdy,2009,Measures,Objective NHL,Zone Entries / Exits / Starts
Home Recording Bias: Shots on Goal,,Tore Purdy,2009,Measures,Objective NHL,Shot Quality
Shot Recording Bias: Florida and New Jersey,,Tore Purdy,2009,Measures,Objective NHL,Shot Quality
Corsi Corrected for Starting Shift Location,,Tore Purdy,2009,Measures,Objective NHL,"Corsi, Fenwick"
Clutch Play,,Philip Myrland,2009,Evaluation,Brodeur Is A Fraud,"Goalies, Clutch"
Numbers On Ice: Shooting to the score,,Tom Awad,2009,Evaluation,Hockey Prospectus,"Shot Quality, Score State"
Up and Coming: Refining the estimate,,Iain Fyffe,2009,Evaluation,Hockey Prospectus,"NHL Draft, Prospects, Projections"
Up and Coming: Projecting Defensemen,,Iain Fyffe,2009,Evaluation,Hockey Prospectus,"NHL Draft, Defensemen, Prospects"
Behind the Net: One Goal Games,,Gabe Desjardins,2009,Evaluation,Hockey Prospectus,One Goal Games
Playing with the Lead and the Percentages,,Tore Purdy,2009,Miscellaneous,Objective NHL,
Behind the Net: Pulling the goalie,,Gabe Desjardins,2009,Evaluation,Hockey Prospectus,"Goaltenders, Trailing"
Behind the Net: Junior Hockey Quality of Competition,,Gabe Desjardins,2009,Evaluation,Hockey Prospectus,"Quality of Competition, Prospects"
Up and Coming: Exceptions that disprove the rule,,Iain Fyffe,2009,Evaluation,Hockey Prospectus,"NHL Draft, Prospects, Projections"
"Numbers on Ice: Understanding Goals Versus Threshold (GVT), Part 3",,Tom Awad,2009,Evaluation,Hockey Prospectus,Skaters
PP Shot Percentage: Correction,,Tore Purdy,2009,Measures,Objective NHL,Powerplay
Howe and Why: Quality Starts,,Rob Vollman,2009,Evaluation,Hockey Prospectus,"Goaltenders, Quality Starts"
Scoring Chances By Game State,,Tore Purdy,2009,Measures,Objective NHL,Shot Quality
Up and Coming: Does height matter for defense?,,Iain Fyffe,2009,Evaluation,Hockey Prospectus,"NHL Draft, Prospects, Defensemen"
Up and Coming: Projecting Goaltenders,,Iain Fyffe,2009,Evaluation,Hockey Prospectus,"NHL Draft, Goaltenders, Prospects"
Numbers on Ice: Fixing Plus/Minus,,Tom Awad,2009,Evaluation,Hockey Prospectus,"Skaters, Plus/Minus, RPM"
Coming off of a Win/Loss: The Effect of Prior Results,,Tore Purdy,2009,Miscellaneous,Objective NHL,
Numbers on Ice: GVT Player Evaluations,,Tom Awad,2009,Evaluation,Hockey Prospectus,"Skaters, GVT, Goaltenders"
"Numbers on Ice: Understanding Goals Versus Threshold (GVT), Part 1",,Tom Awad,2009,Evaluation,Hockey Prospectus,Skaters
Up and Coming: The Beginning,,Iain Fyffe,2009,Evaluation,Hockey Prospectus,"NHL Draft, Prospects, Projections"
Up and Coming: Stats aren't everything,,Iain Fyffe,2009,Evaluation,Hockey Prospectus,"NHL Draft, Prospects, Projections"
"Numbers on Ice: Understanding Goals Versus Threshold (GVT), Part 2",,Tom Awad,2009,Evaluation,Hockey Prospectus,Skaters
Behind the Net: The dangers of defensive zone faceoffs,,Gabe Desjardins,2009,Evaluation,Hockey Prospectus,Faceoffs
Up and Coming: Central Scouting vs. One Little Number,,Iain Fyffe,2009,Evaluation,Hockey Prospectus,"NHL Draft, Prospects, Projections"
The Value of Rebound Control,,Philip Myrland,2009,Evaluation,Brodeur Is A Fraud,"Goalies, Rebounds"
Howe and Why: Projecting Future Scoring,,Rob Vollman,2009,Evaluation,Hockey Prospectus,"Projections, Skaters"
Behind the Net: Shot Quality - Defensemen vs. Forwards,,Gabe Desjardins,2009,Evaluation,Hockey Prospectus,"Shot Quality, Forwards, Defensemen"
Numbers on Ice: A Shot Quality Primer,,Tom Awad,2009,Introduction,Hockey Prospectus,Shot Quality
Howe and Why: Translation factors and the AHL,,Rob Vollman,2009,Evaluation,Hockey Prospectus,"NHL Draft, AHL, Prospects"
Why Goalie Equipment Was Not Responsible for the Scoring Drop,,Philip Myrland,2009,Evaluation,Brodeur Is A Fraud,"Equipment, Goalies, Scoring"
The Win Threshold,,Philip Myrland,2009,Evaluation,Brodeur Is A Fraud,Goalies
Up and Coming: Predicting NHL Success,,Iain Fyffe,2009,Evaluation,Hockey Prospectus,"NHL Draft, Prospects, Projections"
Goalies in the First Round,,Scott Reynolds,2009,NHL Draft,Gospel of Hockey,
Numbers on Ice: League equivalencies and GVT,,Tom Awad,2009,Evaluation,Hockey Prospectus,"NHL Draft, Prospects, Projections"
Behind the Net: Rebounds,,Gabe Desjardins,2009,Evaluation,Hockey Prospectus,"Shot Quality, Rebounds"
Playing with the Lead and the Percentages - Part Two,,Tore Purdy,2009,Miscellaneous,Objective NHL,
Behind the Net: The Value of a Wide-Open Shot,,Gabe Desjardins,2009,Evaluation,Hockey Prospectus,"Shot Quality, Shootout"
Howe and Why: Using playoff scoring to predict the following season,,Rob Vollman,2009,Evaluation,Hockey Prospectus,"Playoffs, Skaters, Projections"
A Castle Built on Sand,,Tom Awad,2009,Measures,Puck Prospectus,Rink Bias
Even Strength Shooting Percentage,,Tore Purdy,2009,Measures,Objective NHL,Shooting Percentage
How Do Goalies Age?,,David Johnson,2010,Evaluation,Hockey Analysis,"Aging Curves, Goalies"
How Do Goalies Age? Part 2,,David Johnson,2010,Evaluation,Hockey Analysis,"Aging Curves, Goalies"
Shot Distribution by Game State,,Scott Reynolds,2010,Evaluation,Copper and Blue,"Goalies, SV%, Game State"
On NHL Equivalencies,,Scott Reynolds,2010,Evaluation,Copper and Blue,Prospects
"Mo' Money, Mo' Skills - ELC as Predictor of Future Success",,Scott Reynolds,2010,Evaluation,Copper and Blue,"Aging Curves, Prospects"
Shot Distribution by Game State,,Scott Reynolds,2010,Evaluation,Copper and Blue,Goalies
Finnish Comps - The Military Service Problem,,Derek Zona,2010,Evaluation,Copper and Blue,NHL Draft
Shot Location by Shot Type,,Gabe Desjardins,2010,Measures,Arctic Ice Hockey,"Classifcation, Shots"
Luck in the NHL Standings,,Gabe Desjardins,2010,Miscellaneous,Arctic Ice Hockey,"Luck, Team"
Goaltender Talent,,Gabe Desjardins,2010,Evaluation,Arctic Ice Hockey,Goalies
Changing Goalies = Shuffling the Deck Chairs?,,Gabe Desjardins,2010,Evaluation,Arctic Ice Hockey,Goalies
How Good is Your Power-Play?,,Gabe Desjardins,2010,Measures,Arctic Ice Hockey,Powerplay
Is It Possible to Determine Goaltender True Talent on the PK>,,Gabe Desjardins,2010,Evaluation,Arctic Ice Hockey,"Goalies, Penalty Kill"
Goaltender Save Percentage by Age,,Gabe Desjardins,2010,Evaluation,Arctic Ice Hockey,"Aging Curves, Goalies"
Goaltender Salary per Win 2000-01 to 2009-10,,Gabe Desjardins,2010,Evaluation,Arctic Ice Hockey,"Free Agency, Goalies"
Are Expensive Goaltenders Worth the Money?,,Gabe Desjardins,2010,Evaluation,Arctic Ice Hockey,"Free Agency, Goalies"
Fooled by Randomness: Goaltender Save Percentage,,Gabe Desjardins,2010,Evaluation,Arctic Ice Hockey,Goalies
Corsi and Score Effects,,Gabe Desjardins,2010,Measures,Arctic Ice Hockey,Corsi / Fenwick
Slight Statistical Improvement: Corsi Qualcomp,,Gabe Desjardins,2010,Measures,Arctic Ice Hockey,Quality of Competition / Teammates
Strategies for Pulling the Goalie in Hockey,,David Beaudoin,2010,Evaluation,Simon Fraser University,"Strategy, Goalies"
"Martin Brodeur, Goaltender, and Bayesian Inference",,Sunny Mehta,2010,Evaluation,PDF,"Bayesian, Goaltending, ERCS%"
Shot Recording Bias: part n,,Tore Purdy,2010,Measures,Objective NHL,Shot Quality
NHL Shot Quality 2009-2010: A look at shot angles and rebounds,,Kevin Krzywicki,2010,Measures,Hockey Analytics,Shot Quality
Illegal Curve: Blocked shots and standings points,,Richard Pollock,2010,Evaluation,Hockey Prospectus,Blocked Shots
Numbers on Ice: How much skill is there in goaltending?,,Tom Awad,2010,Evaluation,Hockey Prospectus,Goalies
Numbers On Ice: Plus-Minus and Corsi have a baby,,Tom Awad,2010,Evaluation,Hockey Prospectus,"Shot Quality, Delta"
Luck In The NHL Standings,,Gabe Desjardins,2010,Evaluation,Arctic Ice Hockey,"Luck, Standings, Parity"
Calculating Point Shares,,Justin Kubatko,2010,Evaluation,Hockey Reference,"Points, Shares, Skaters"
Numbers On Ice: Delta with teammate adjustments - DeltaSOT,,Tom Awad,2010,Evaluation,Hockey Prospectus,"Quality of Teammates, Skaters"
The Playoff Value of Grinders: Are they important?,,Tom Awad,2010,Evaluation,Hockey Prospectus,"Playoffs, Grinders"
Numbers on Ice: Does Shot Quality Exist?,,Tom Awad,2010,Measures,Hockey Prospectus,Shot Quality
Illegal Curve: Hits and team success,,Richard Pollock,2010,Evaluation,Hockey Prospectus,Hits
The Repeatability of Special Teams Performance,,Tore Purdy,2010,Measures,Objective NHL,Powerplay
Up and Coming: Developing the Inductinator,,Iain Fyffe,2010,Evaluation,Hockey Prospectus,Hall of Fame
Corsi Corrected for Schedule Difficulty,,Tore Purdy,2010,Measures,Objective NHL,"Corsi, Fenwick"
A Closer Look at the Relative Age Effect in the National Hockey League,,Vittorio Addona,2010,NHL Draft,Hockey Analytics,
In The Crease: Goalie Support,,Philip Myrland,2010,Evaluation,Hockey Prospectus,Goal Support
"Numbers on Ice: What makes good players good, part one",,Tom Awad,2010,Evaluation,Hockey Prospectus,Skaters
"Numbers on Ice: What makes good players good, part three",,Tom Awad,2010,Evaluation,Hockey Prospectus,Skaters
"Numbers on Ice: What makes good players good, part four",,Tom Awad,2010,Evaluation,Hockey Prospectus,Skaters
Howe and Why: Ten Ways to Measure Defensive Contributions,,Rob Vollman,2010,Evaluation,Hockey Prospectus,"Defense, Skaters"
Illegal Curve: The correlation between giveaways and points in the standings,,Richard Pollock,2010,Evaluation,Hockey Prospectus,Giveaways
"In The Crease: Shot Recording in the NHL, Part One: Do teams play differently on the road?",,Philip Myrland,2010,Evaluation,Hockey Prospectus,"Shots, Road"
"Numbers on Ice: What makes good players good, part two",,Tom Awad,2010,Evaluation,Hockey Prospectus,Skaters
Forest vs. Trees,,Tim Barnes,2010,Measures,Irreverant Oilers Fans,"Defenders, Save Percentage"
Events and Time On Ice - Estimating AHL TOI,,Scott Reynolds,2011,Evaluation,Copper and Blue,NHL Draft
The Impact of Luck on Prospects,,Derek Zona,2011,Evaluation,Copper and Blue,NHL Draft
The role of variance in hockey,,Eric Tulsky,2011,Evaluation,Broadstreet Hockey,"Variance, Team"
Zone Entries: What Drives Powerplay Success?,,Eric Tulsky,2011,Measures,Broadstreet Hockey,"Powerplay, Zone Entries"
What Makes a Good Special Teams Unit?,,Eric Tulsky,2011,Measures,Broadstreet Hockey,Powerplay
Do young forwards shoot more as they mature?,,Eric Tulsky,2011,Evaluation,Broadstreet Hockey,"Aging Curves, Skaters"
"How SOG rates change with age, part 2",,Eric Tulsky,2011,Evaluation,Broadstreet Hockey,"Aging Curves, Skaters"
Do You Get What You Pay for with Goalies?,,Eric Tulsky,2011,Evaluation,Broadstreet Hockey,"Free Agency, Goalies"
Balanced zone shifts: the evolution of a new statistic,,Eric Tulsky,2011,Measures,Broadstreet Hockey,Zone Entries/Exits/Starts
Zone entries and scoring chances,,Eric Tulsky,2011,Measures,Broadstreet Hockey,Zone Entries/Exits/Starts
Do Playmakers Drive Teammates’ Shooting Percentage?,,Eric Tulsky,2011,Measures,Broadstreet Hockey,Quality of Competition / Teammates
Young Forwards and Tough Defensive Minutes,,Eric Tulsky,2011,Measures,Broadstreet Hockey,Quality of Competition / Teammates
Balanced Corsi: Who is best at their role?,,Eric Tulsky,2011,Measures,Broadstreet Hockey,Zone Entries / Exits / Starts
The luck involved in scoring,,ThrashersRecaps,2011,Miscellaneous,Arctic Ice Hockey,"Luck, Scoring, Team"
Sample Size War: Goals Part I (Forwards),,SnarkSD,2011,Measures,Arctic Ice Hockey,"Forwards, Skaters"
Sample Size War: Goal Reliability Part II (Defensemen),,SnarkSD,2011,Measures,Arctic Ice Hockey,"Defenders, Skaters"
"Sample Size War: Forward G, A, Pts, +/-, PIM reliability and regression to the mean",,SnarkSD,2011,Measures,Arctic Ice Hockey,Skaters
"Sample Size War: With so much luck, when are stats useful?",,SnarkSD,2011,Measures,Arctic Ice Hockey,
How Does the Defensive Shell Work?,,Gabe Desjardins,2011,Strategy,Arctic Ice Hockey,
Luck vs. Shot Quality in Shooting Percentage,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,"Luck, Shot Quality"
Shot Distance Allowed as a Team Talent,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,Shot Distance
1st Assist and 2nd Assist Bias,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,"Assists, Bias, Primary Assist, Secondary Assist, Scoring"
Advanced Metrics: PDO and Regression to the Mean,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,"PDO, Regression"
PDO If you were going to understand just one NHL statistic,,Gabe Desjardins,2011,Introduction,Arctic Ice Hockey,"PDO, Team"
What Drives Power-Play Success?,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,Powerplay
Measuring Defensive Assignments on the PK,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,Penalty Kill
On-Ice Shooting Percentage as a Player Talent,,Gabe Desjardins,2011,Evaluation,Arctic Ice Hockey,"Shooting Percentage, SH%, Skaters"
Is there streakiness in even-strength shooting percentage?,,Gabe Desjardins,2011,Evaluation,Arctic Ice Hockey,"Shooting Percentage, SH%, Skaters"
What do NHL GMs Think is Replacement-Level Goaltending?,,Gabe Desjardins,2011,Evaluation,Arctic Ice Hockey,Goalies
The Importance of a Goalie’s First 15 Games,,Gabe Desjardins,2011,Evaluation,Arctic Ice Hockey,Goalies
The Impossibility of Projecting Goaltenders,,Gabe Desjardins,2011,Evaluation,Arctic Ice Hockey,Goalies
Shot Distance Allowed as a Team Talent,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,Shot Quality
Luck vs. Shot Quality in Shooting Percentage,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,Shot Quality
How Does the Defensive Shell Work?,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,Corsi / Fenwick
Can a Player Influence his Teammates’ Shooting Percentage?,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,Quality of Competition / Teammates
Further to: Does QualComp Matter?,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,Quality of Competition / Teammates
A back-door attempt at the shot quality prize,,Eric Tulsky,2011,Measures,Arctic Ice Hockey,"Shot Quality, Skaters"
Does QualComp Matter?,,Dirk Hoag,2011,Measures,Arctic Ice Hockey,Quality of Competition / Teammates
Expected Shots-For and Shots-Against at Different Zone Starts,,Bettman's Nightmare,2011,Measures,Arctic Ice Hockey,Zone Entries / Exits / Starts
A Defense Independent Rating of NHL Goaltenders using Spatially Smoothed Save Percentage Maps,,Michael Schuckers,2011,Evaluation,Sloan Sports Conference,Goalies
"Shots, Fenwick, and Corsi",,Tore Purdy,2011,Measures,Objective NHL,"Corsi, Fenwick"
Loose Ends - Part 2: Score Effects and Minor Penalties,,Tore Purdy,2011,Measures,Objective NHL,"Corsi, Fenwick"
Loose Ends - Part 1: Predicting Future Success,,Tore Purdy,2011,Measures,Objective NHL,"Corsi, Fenwick"
Benchmarcs: Determining the value of unrealized draft picks,,Marc Foster,2011,Evaluation,Hockey Prospectus,"NHL Draft, Trades"
Howe and Why: Relief Goaltending,,Rob Vollman,2011,Evaluation,Hockey Prospectus,"Goaltenders, Backups"
How Well Do Scoring Events Reflect Ice Time?,,Scott Reynolds,2011,Evaluation,Copper and Blue,"Goals, Points, Time on Ice, CHL, Prospects"
"Yeah, But: QualComp",,Jared L.,2011,Measures,Driving Play,Quality of Competition / Teammates
Team Effects and Penalty Kill Save Percentage,,Tore Purdy,2011,Evaluation,Objective NHL,Goalies
"Howe and Why: AHL Translations, Summary",,Rob Vollman,2011,Evaluation,Hockey Prospectus,"AHL, Prospects, Projections"
On Zone Starts,,Jared L.,2011,Measures,Driving Play,Zone Entries / Exits / Starts
How and Why: OZ Coke Charts,,Rob Vollman,2011,Measures,Hockey Prospectus,Quality of Competition
How Often does the Best Team Win?,,Tore Purdy,2011,Miscellaneous,Objective NHL,
Loose Ends - Part III C: The Powerplay,,Tore Purdy,2011,Measures,Objective NHL,Powerplay
Howe and Why: How Good is Snepsts,,Rob Vollman,2011,Models,Hockey Prospectus,"Snepsts, VUKOTA"
"Howe and Why: AHL Translations, Age 23-26",,Rob Vollman,2011,Evaluation,Hockey Prospectus,"AHL, Prospects, Projections"
"Howe and Why: AHL Translations, Under Age 23",,Rob Vollman,2011,Evaluation,Hockey Prospectus,"AHL, Prospects, Projections"
"Why Future Performances, Not Consistency, Matters",,Neil Greenberg,2011,Evaluation,Russian Machine Never Breaks,Skaters
Team Even Strength Shooting Talent,,Tore Purdy,2011,Miscellaneous,Objective NHL,"Shooting, Talent, Team"
Team Effects and Even Strength Save Percentage,,Tore Purdy,2011,Evaluation,Objective NHL,Goalies
Shots On Goal: Ultimate Faceoff Percentage (UFO%),,Timo Seppa,2011,Evaluation,Hockey Prospectus,Faceoffs
Loose Ends - Part III B: The Powerplay,,Tore Purdy,2011,Measures,Objective NHL,Powerplay
"Up and Coming: The Projectinator Revised, and the Effect of Birth Months",,Iain Fyffe,2011,Evaluation,Hockey Prospectus,"NHL Draft, Prospects"
Loose Ends - Part III A: The Powerplay,,Tore Purdy,2011,Measures,Objective NHL,Powerplay
Howe and Why: AHL Translations Revisited,,Rob Vollman,2011,Evaluation,Hockey Prospectus,"AHL, Prospects, Projections"
Adjusting for Zone Starts: Zone Start Adjusted Corsi,,Jared L.,2011,Measures,Driving Play,Zone Entries / Exits / Starts
Even Strength Outshooting and Team Quality,,Tore Purdy,2011,Miscellaneous,Objective NHL,"Outshooting, Quality, Team"
How Much Do Wins Cost,,Gabe Desjardins,2011,Measures,Arctic Ice Hockey,"Wins, Cost, Replacement Level"
